file,t_decode_full,t_decode_reduced,mp,t_resize,t_det,n_box,t_rec_all,n_crop,found_0
001123.jpg,0.010905027389526367,0.010999917984008789,1.09868,0.0060002803802490234,0.32851552963256836,147,2.3016016483306885,147,False
003114.jpg,0.028505325317382812,0.020000219345092773,3.048192,0.0020003318786621094,0.04860281944274902,32,0.6192669868469238,32,False
000486.jpg,0.15167570114135742,0.11213183403015137,12.4848,0.005000114440917969,0.040999412536621094,8,0.1703486442565918,8,False
002087.jpg,0.008000850677490234,0.00699925422668457,0.597408,0.0009999275207519531,0.24464631080627441,70,1.0169763565063477,70,False
000714.jpg,0.021001577377319336,0.012998104095458984,2.181652,0.002000570297241211,0.2765772342681885,7,0.16885638236999512,7,False
002221.jpg,0.007998466491699219,0.009000301361083984,0.762048,0.0019998550415039062,0.35918354988098145,142,2.2907495498657227,142,True
001385.jpg,0.005505561828613281,0.003999948501586914,0.4096,0.0,0.20601606369018555,18,0.2712712287902832,18,False
002701.jpg,0.011896371841430664,0.012999773025512695,0.937105,0.0010008811950683594,0.35686349868774414,128,2.0235254764556885,128,False
000363.jpg,0.09512042999267578,0.03300356864929199,12.192768,0.006000041961669922,0.3067030906677246,83,1.1964960098266602,83,False
000934.jpg,0.01163339614868164,0.010999917984008789,0.840846,0.0010004043579101562,0.05099940299987793,26,0.43656229972839355,26,False
001293.jpg,0.01599907875061035,0.020000934600830078,1.547649,0.0029993057250976562,0.27582836151123047,10,0.23211193084716797,10,False
000341.jpg,0.09585332870483398,0.02599930763244629,12.192768,0.0050051212310791016,0.05134439468383789,49,0.7339775562286377,49,True
000944.jpg,0.012578725814819336,0.010999679565429688,0.89162,0.002000093460083008,0.06099987030029297,76,1.2274186611175537,76,False
002814.jpg,0.004911184310913086,0.003999948501586914,0.4096,0.0,0.20818066596984863,4,0.1270005702972412,4,False
001277.jpg,0.0057256221771240234,0.004000186920166016,0.4096,0.0,0.037999868392944336,38,0.6436707973480225,38,False
002490.jpg,0.005475759506225586,0.003999948501586914,0.4096,0.0,0.03399991989135742,14,0.2578413486480713,14,False
001706.jpg,0.005506753921508789,0.003999948501586914,0.4096,0.0,0.03299999237060547,25,0.43378782272338867,25,True
001959.jpg,0.00457453727722168,0.004998445510864258,0.4096,0.0,0.054001569747924805,121,1.9452459812164307,121,False
002640.jpg,0.004000425338745117,0.003999233245849609,0.4096,0.0,0.03400421142578125,19,0.3727402687072754,19,False
000421.jpg,0.10589909553527832,0.04400205612182617,12.4848,0.0060002803802490234,0.30522894859313965,15,0.29606080055236816,15,False
001633.jpg,0.009412288665771484,0.009000062942504883,0.758524,0.002000093460083008,0.072509765625,114,2.049639940261841,114,False
000588.jpg,0.016633987426757812,0.017165184020996094,1.47,0.0020003318786621094,0.05650949478149414,24,0.5193021297454834,24,True
000122.jpg,0.12878823280334473,0.07850241661071777,12.192768,0.004999876022338867,0.3372616767883301,12,0.17371034622192383,12,False
001448.jpg,0.004999876022338867,0.0039997100830078125,0.4096,0.0010001659393310547,0.12556958198547363,104,1.7216031551361084,104,True
000451.jpg,0.10551643371582031,0.04550814628601074,12.4848,0.00500178337097168,0.059168100357055664,76,1.1366734504699707,76,True
002095.jpg,0.006608486175537109,0.003998756408691406,0.4096,0.0010013580322265625,0.030998706817626953,8,0.2027144432067871,8,False
000849.jpeg,0.1220240592956543,0.04000353813171387,12.192768,0.004998445510864258,0.047202110290527344,4,0.13176321983337402,4,False
003341.jpg,0.004000425338745117,0.004000186920166016,0.4096,0.0,0.04000115394592285,35,0.7601661682128906,35,True
002403.jpg,0.015565633773803711,0.01599860191345215,1.35946,0.002003192901611328,0.12201833724975586,12,0.17190814018249512,12,False
000745.jpg,0.051000356674194336,0.031999826431274414,6.432084,0.006000041961669922,0.04954338073730469,12,0.26076841354370117,12,True
000929.jpg,0.0063190460205078125,0.003999471664428711,0.4096,0.0,0.04450845718383789,65,1.019345760345459,65,False
001243.jpg,0.009000062942504883,0.009999752044677734,0.774192,0.002000093460083008,0.2756965160369873,19,0.39589834213256836,19,False
001236.jpg,0.004999399185180664,0.006037235260009766,0.470448,0.0010035037994384766,0.1625075340270996,16,0.25905466079711914,16,False
000524.jpg,0.015640735626220703,0.01699995994567871,1.47,0.0020003318786621094,0.07850766181945801,151,2.160576343536377,151,False
000569.jpg,0.01572728157043457,0.015001296997070312,1.47,0.0019989013671875,0.04800081253051758,7,0.12952613830566406,7,False
002658.jpg,0.004998683929443359,0.004504680633544922,0.4096,0.0,0.11108779907226562,68,1.1526155471801758,68,True
003206.jpg,0.008504152297973633,0.007508516311645508,0.664608,0.0,0.24402308464050293,6,0.08692359924316406,6,False
001939.jpg,0.010998249053955078,0.014000177383422852,1.145772,0.0010004043579101562,0.3383808135986328,24,0.34978580474853516,24,False
003204.jpg,0.013681650161743164,0.014000177383422852,1.096563,0.002002239227294922,0.11400175094604492,2,0.11852741241455078,2,False
002093.jpg,0.008353948593139648,0.007998466491699219,0.6538,0.0010001659393310547,0.2565174102783203,119,1.9457955360412598,119,True
003132.jpg,0.009000062942504883,0.010999917984008789,0.762048,0.002000093460083008,0.04855060577392578,17,0.290024995803833,17,False
000187.jpg,0.13950300216674805,0.051999807357788086,12.192768,0.006000518798828125,0.044999122619628906,13,0.2563972473144531,13,True
002415.jpg,0.007013797760009766,0.003999948501586914,0.4096,0.0,0.22404026985168457,72,1.1259267330169678,72,False
001437.jpg,0.007999897003173828,0.00800013542175293,0.619481,0.0,0.23596405982971191,16,0.2965860366821289,16,True
000884.jpg,0.0053708553314208984,0.003999948501586914,0.4096,0.0,0.032000064849853516,8,0.18821954727172852,8,False
000946.jpg,0.007001399993896484,0.009998559951782227,0.694564,0.0010001659393310547,0.11201643943786621,12,0.23002028465270996,12,False
002985.jpg,0.005715370178222656,0.004002094268798828,0.4096,0.0,0.03199934959411621,1,0.0885169506072998,1,True
002697.jpg,0.016998291015625,0.019999980926513672,1.636516,0.003000020980834961,0.05900001525878906,72,1.0603370666503906,72,False
001353.jpg,0.005682468414306641,0.0035021305084228516,0.4096,0.0,0.03463554382324219,20,0.3585641384124756,20,False
003251.jpg,0.021506309509277344,0.026001930236816406,2.1038,0.00299835205078125,0.07355618476867676,141,2.0033764839172363,141,False
000434.jpg,0.10302352905273438,0.04400229454040527,12.4848,0.004998683929443359,0.04899883270263672,33,0.5836358070373535,33,False
002974.jpg,0.011320114135742188,0.008999824523925781,0.820064,0.0019996166229248047,0.048999786376953125,6,0.15657520294189453,6,False
000428.jpg,0.10421586036682129,0.0429995059967041,12.4848,0.005999565124511719,0.04800248146057129,4,0.13538765907287598,4,False
002201.jpg,0.0070002079010009766,0.006999492645263672,0.4992,0.0,0.2579665184020996,42,0.6582741737365723,42,False
002727.jpg,0.00497126579284668,0.004000425338745117,0.4096,0.0,0.2090926170349121,4,0.11850929260253906,4,True
002384.jpg,0.005634307861328125,0.003999948501586914,0.4096,0.0,0.04100203514099121,57,0.9858629703521729,57,False
001147.jpg,0.005587100982666016,0.0040018558502197266,0.4096,0.0,0.03350973129272461,15,0.287567138671875,15,True
003225.jpg,0.003999948501586914,0.003999948501586914,0.4096,0.0,0.03300046920776367,10,0.20269131660461426,10,True
002562.jpg,0.01659989356994629,0.01800227165222168,1.422441,0.003000020980834961,0.30565476417541504,11,0.2145090103149414,11,False
002467.jpg,0.015999794006347656,0.017999887466430664,1.447338,0.002000093460083008,0.0480039119720459,14,0.2732386589050293,14,False
